PERIODO,PROGRAMA,INSCRITOS
201510,ADMI,593
201510,ANTR,93
201510,ARQU,542
201510,ARTE,100
201510,BIOL,116
201510,CPOL,257
201510,DERE,867
201510,DISO,379
201510,ECON,487
201510,EDIR,23
201510,FILO,29
201510,FISI,116
201510,GEOC,244
201510,GOBI,94
201510,HART,22
201510,HIST,45
201510,IAMB,433
201510,IBIO,258
201510,ICIV,825
201510,IELC,366
201510,IELE,86
201510,IIND,898
201510,IMEC,461
201510,IQUI,571
201510,ISIS,366
201510,LENG,178
201510,LITE,113
201510,MATE,54
201510,MEDI,1983
201510,MICR,88
201510,MUSI,99
201510,PSIC,436
201510,QUIM,77
201520,ADMI,578
201520,ANTR,58
201520,ARQU,338
201520,ARTE,66
201520,BIOL,83
201520,CONT,39
201520,CPOL,153
201520,DERE,498
201520,DISO,291
201520,ECON,313
201520,EDIR,47
201520,FILO,23
201520,FISI,55
201520,GEOC,83
201520,GOBI,79
201520,HART,17
201520,HIST,32
201520,IAMB,147
201520,IBIO,137
201520,ICIV,286
201520,IELC,87
201520,IELE,29
201520,IIND,532
201520,IMEC,202
201520,IQUI,220
201520,ISIS,149
201520,LENG,75
201520,LITE,54
201520,MATE,21
201520,MEDI,874
201520,MICR,36
201520,MUSI,54
201520,PSIC,261
201520,QUIM,35
201610,ADMI,1150
201610,ANTR,209
201610,ARQU,1025
201610,ARTE,275
201610,BIOL,360
201610,CONT,285
201610,CPOL,681
201610,DERE,1422
201610,DISO,669
201610,ECON,997
201610,EDIR,91
201610,FILO,113
201610,FISI,300
201610,GEOC,380
201610,GOBI,407
201610,HART,43
201610,HIST,123
201610,IAMB,791
201610,IBIO,879
201610,ICIV,1606
201610,IELC,874
201610,IELE,280
201610,IIND,1514
201610,IMEC,859
201610,IQUI,961
201610,ISIS,848
201610,LART,24
201610,LCNA,34
201610,LCSO,31
201610,LCUL,472
201610,LEDI,7
201610,LHUM,24
201610,LITE,234
201610,LMAT,38
201610,MATE,194
201610,MEDI,2704
201610,MICR,386
201610,MUSI,205
201610,PSIC,765
201610,QUIM,249
201620,ADMI,729
201620,ANTR,95
201620,ARQU,369
201620,ARTE,170
201620,BIOL,116
201620,CONT,96
201620,CPOL,339
201620,DERE,518
201620,DISO,414
201620,ECON,493
201620,EDIR,217
201620,FILO,53
201620,FISI,78
201620,GEOC,102
201620,GOBI,234
201620,HART,79
201620,HIST,54
201620,IAMB,206
201620,IBIO,237
201620,ICIV,311
201620,IELC,165
201620,IELE,41
201620,IIND,668
201620,IMEC,252
201620,IQUI,229
201620,ISIS,223
201620,LART,10
201620,LCNA,3
201620,LCSO,4
201620,LCUL,122
201620,LEDI,3
201620,LHUM,9
201620,LITE,98
201620,LMAT,8
201620,MATE,60
201620,MEDI,685
201620,MICR,139
201620,MUSI,76
201620,PSIC,357
201620,QUIM,57
201710,ADMI,854
201710,ANTR,179
201710,ARQU,693
201710,ARTE,204
201710,BIOL,245
201710,CONT,185
201710,CPOL,562
201710,DERE,1033
201710,DISO,498
201710,ECON,756
201710,EDIR,210
201710,FILO,91
201710,FISI,219
201710,GEOC,225
201710,GOBI,360
201710,HART,78
201710,HIST,75
201710,IAMB,417
201710,IBIO,701
201710,ICIV,1017
201710,IELC,654
201710,IELE,168
201710,IIND,951
201710,IMEC,620
201710,IQUI,618
201710,ISIS,692
201710,LART,9
201710,LCNA,11
201710,LCSO,28
201710,LCUL,319
201710,LEDI,26
201710,LHUM,27
201710,LITE,150
201710,LMAT,24
201710,MATE,126
201710,MEDI,1795
201710,MICR,334
201710,MUSI,128
201710,PSIC,490
201710,QUIM,191
201720,ADMI,633
201720,ANTR,75
201720,ARQU,312
201720,ARTE,144
201720,BIOL,84
201720,CONT,106
201720,CPOL,313
201720,DERE,512
201720,DISO,354
201720,ECON,354
201720,EDIR,308
201720,FILO,42
201720,FISI,71
201720,GEOC,66
201720,GOBI,188
201720,HART,72
201720,HIST,45
201720,IAMB,146
201720,IBIO,178
201720,ICIV,277
201720,IELC,168
201720,IELE,42
201720,IIND,484
201720,IMEC,193
201720,IQUI,150
201720,ISIS,252
201720,LART,7
201720,LCNA,3
201720,LCSO,11
201720,LCUL,136
201720,LEDI,12
201720,LHUM,7
201720,LITE,97
201720,LMAT,4
201720,MATE,54
201720,MEDI,474
201720,MICR,88
201720,MUSI,78
201720,PSIC,289
201720,QUIM,37
201810,ADMI,643
201810,ANTR,102
201810,ARQU,443
201810,ARTE,159
201810,BIOL,174
201810,CONT,100
201810,CPOL,346
201810,DERE,691
201810,DISO,335
201810,ECON,534
201810,EDIR,206
201810,FILO,47
201810,FISI,228
201810,GEOC,143
201810,GOBI,272
201810,HART,58
201810,HIST,64
201810,IAMB,223
201810,IBIO,447
201810,ICIV,557
201810,IELC,391
201810,IELE,164
201810,IIND,569
201810,IMEC,435
201810,IQUI,353
201810,ISIS,387
201810,LART,7
201810,LCNA,2
201810,LCSO,15
201810,LCUL,192
201810,LEDI,11
201810,LHUM,10
201810,LITE,108
201810,LMAT,20
201810,MATE,92
201810,MEDI,1027
201810,MICR,185
201810,MUSI,97
201810,PSIC,247
201810,QUIM,122
201820,ADMI,671
201820,ANTR,62
201820,ARQU,255
201820,ARTE,110
201820,BIOL,89
201820,CONT,69
201820,CPOL,234
201820,DERE,463
201820,DISO,313
201820,ECON,360
201820,EDIR,299
201820,FILO,34
201820,FISI,82
201820,GEOC,38
201820,GOBI,175
201820,HART,56
201820,HIST,34
201820,IAMB,101
201820,IBIO,226
201820,ICIV,200
201820,IELC,139
201820,IELE,63
201820,IIND,481
201820,IMEC,196
201820,IQUI,133
201820,ISIS,167
201820,LART,3
201820,LCUL,81
201820,LEFI,4
201820,LEIN,9
201820,LFIS,1
201820,LHIS,4
201820,LITE,62
201820,LMAT,4
201820,MATE,57
201820,MEDI,651
201820,MICR,96
201820,MUSI,83
201820,PSIC,224
201820,QUIM,44
201910,ADMI,599
201910,ANTR,73
201910,ARQU,330
201910,ARTE,116
201910,BIOL,126
201910,CONT,96
201910,CPOL,277
201910,DERE,590
201910,DISO,332
201910,ECON,487
201910,EDIR,157
201910,FILO,43
201910,FISI,178
201910,GEOC,91
201910,GOBI,220
201910,HART,47
201910,HIST,30
201910,IAMB,168
201910,IBIO,344
201910,ICIV,330
201910,IELC,237
201910,IELE,51
201910,IIND,440
201910,IMEC,289
201910,IQUI,279
201910,ISIS,315
201910,LART,10
201910,LBIO,2
201910,LCUL,137
201910,LEFI,15
201910,LEIN,9
201910,LFIS,3
201910,LHIS,5
201910,LITE,95
201910,LMAT,7
201910,LQUI,5
201910,MATE,87
201910,MEDI,911
201910,MICR,136
201910,MUSI,94
201910,NADI,57
201910,PSIC,231
201910,QUIM,78
201920,ADMI,677
201920,ANTR,64
201920,ARQU,263
201920,ARTE,117
201920,BIOL,114
201920,CONT,50
201920,CPOL,208
201920,DERE,470
201920,DISO,356
201920,ECON,395
201920,EDIR,293
201920,FILO,46
201920,FISI,104
201920,GEOC,39
201920,GOBI,161
201920,HART,52
201920,HIST,41
201920,IAMB,104
201920,IBIO,190
201920,ICIV,159
201920,IELC,100
201920,IELE,32
201920,IIND,372
201920,IMEC,163
201920,IQUI,121
201920,ISIS,180
201920,LART,4
201920,LBIO,1
201920,LCUL,81
201920,LEFI,3
201920,LEIN,9
201920,LFIS,6
201920,LFLS,1
201920,LHIS,2
201920,LITE,52
201920,LMAT,4
201920,LQUI,7
201920,MATE,51
201920,MEDI,497
201920,MICR,93
201920,MUSI,83
201920,NADI,80
201920,PSIC,236
201920,QUIM,50
202010,ADMI,661
202010,ANTR,79
202010,ARQU,338
202010,ARTE,129
202010,BIOL,156
202010,CONT,102
202010,CPOL,272
202010,DERE,656
202010,DISO,305
202010,ECON,495
202010,EDIR,166
202010,FILO,53
202010,FISI,224
202010,GEOC,94
202010,GOBI,196
202010,HART,39
202010,HIST,38
202010,IAMB,156
202010,IBIO,424
202010,ICIV,358
202010,IELC,268
202010,IELE,72
202010,IIND,450
202010,IMEC,305
202010,IQUI,281
202010,ISIS,387
202010,LART,7
202010,LBIO,7
202010,LCUL,154
202010,LEFI,22
202010,LEIN,22
202010,LFIS,8
202010,LFLS,4
202010,LHIS,8
202010,LITE,79
202010,LMAT,10
202010,LQUI,9
202010,MATE,91
202010,MEDI,933
202010,MICR,143
202010,MUSI,112
202010,NADI,127
202010,PSIC,298
202010,QUIM,108
202020,ADMI,672
202020,ANTR,69
202020,ARQU,310
202020,ARTE,124
202020,BIOL,104
202020,CONT,36
202020,CPOL,186
202020,DERE,477
202020,DISO,367
202020,ECON,470
202020,EDIR,236
202020,FILO,47
202020,FISI,124
202020,GEOC,38
202020,GOBI,142
202020,HART,29
202020,HIST,33
202020,IALI,38
202020,IAMB,66
202020,IBIO,219
202020,ICIV,183
202020,IELC,121
202020,IELE,35
202020,IIND,399
202020,IMEC,171
202020,IQUI,138
202020,ISIS,205
202020,LART,5
202020,LBIO,4
202020,LCUL,27
202020,LEFI,15
202020,LEIN,12
202020,LFIS,2
202020,LFLS,5
202020,LHIS,13
202020,LITE,54
202020,LMAT,7
202020,LQUI,2
202020,MATE,59
202020,MEDI,647
202020,MICR,110
202020,MUSI,110
202020,NADI,129
202020,PSIC,231
202020,QUIM,58
202110,ADMI,609
202110,ANTR,77
202110,ARQU,397
202110,ARTE,128
202110,BIOL,140
202110,CPOL,268
202110,DERE,632
202110,DISO,368
202110,ECON,439
202110,EDIR,91
202110,FILO,44
202110,FISI,186
202110,GEOC,84
202110,GOBI,181
202110,HART,25
202110,HIST,45
202110,IALI,30
202110,IAMB,119
202110,IBIO,333
202110,ICIV,333
202110,IELC,204
202110,IELE,44
202110,IIND,372
202110,IMEC,265
202110,IQUI,232
202110,ISIS,418
202110,LART,8
202110,LBIO,10
202110,LCUL,190
202110,LEFI,21
202110,LEIN,21
202110,LFIS,7
202110,LFLS,8
202110,LHIS,10
202110,LITE,89
202110,LMAT,10
202110,LQUI,6
202110,MATE,86
202110,MEDI,1147
202110,MICR,136
202110,MUSI,120
202110,NADI,123
202110,PSIC,191
202110,QUIM,88
